Formula,T,Seebeck,s,k,ZT
Sb0.15Ge0.85Te,473,222.9,19266,1.22,0.353
Al0.01Ge0.99Te,323,34.29,639286,6.778,0.036
Sr0.11Ba0.18Co4Sb12.09,300,-96,401852,4.64,0.239
Yb0.35Co4Sb12,823,-193,128000,1.4,1.2
Ag0.96Nb0.04BiSe2.0,375,-98,24615,0.715,0.124
Ba8.01Ga15.83Zn0.019Sn30.15,460,479.17,4306,0.778,0.585
La0.25Ca0.75TiO3,432,-66,151000,3.66,0.078
Ag8Sn0.7Ga0.3Se6,640,-192,7980,0.322,0.585
Yb10Ca3BaMgSb11,700,156.35,14887,0.614,0.415
Cu0.9Pd0.1FeS2,10,-13,55804,5.47,0
Ag2.0Se0.9Te0.1,330,-135.6,97980,0.845,0.704
Nd2.9Te4,1073,-109.4,77500,2.09,0.45
K0.98Ba0.02GaSb4,416,-161.9,26668,0.96,0.303
NbCo0.96Ni0.04Sn,600,-155,82604,7.798,0.153
(Cu3SnS4)0.895(Ga2Te3)0.105,479,75.25,141561,2.637,0.146
CuGaTe2,375,365,2330,5.75,0.027
Ca10GaSb9,398,32.46,203,0.677,0
Mg2Zn1.04Sb2,673,104.61,5464,0.779,0.052
Al0.0075Sb0.1Ge0.8925Te,323,142.74,58474,1.428,0.269
LiCo0.85Ni0.15O2,723,432.88,24.43,1.671,0.002
Sn1.03Se0.12Te0.88,323,13.53,528947,5.164,0.006
VFeSb,350,-179.6,129819,6.747,0.217
Cu2Zn0.2Fe0.8SnSe4,573,245.38,3356,0.933,0.124
Tl9.0BiTe6.0,325,200,18091,5,0.047
Cu2Se0.9S0.1,707,186.63,22925,0.456,1.238
Ag0.01Sn0.99Se0.8S0.2,813,326.92,2400,0.149,1.403
ZrNiPb0.985Bi0.015,673,-149.8,194507,7.24,0.406
K0.38Co4Sb12,300,-114,266000,4.7,0.2
(Cu3SnS4)0.915(Ga2Te3)0.085,405,58.08,168430,3.742,0.061
Cu2Zn0.8Fe0.2SnSe4,773,313.22,2861,0.669,0.324
Ag2Se,297,-132.99,180873,1.15,0.826
Mg0.98Li0.02Ge0.9Si0.1,600,288.59,16538,2.835,0.291
Cu2Se,365,107.4,76750,0.67,0.482
Cu5SnSbSe7,300,28.62,527826,5.267,0.025
Yb10LaCdSb9,323,31.58,28782,0.887,0.01
Li2Ge11Sb2Te15,523,157.4,128400,1.875,0.887
Ba0.21In0.04Co4Sb11.93,300,-160,143400,2.5,0.3
Bi0.92Pb0.04Yb0.04CuSeO,450,161.84,13617,0.645,0.249
Eu2Zn0.96Sb2,300,113,25918,0.54,0.184
AgBi0.95Sb0.05Se2,550,161.4,214,0.4,0.008
(Cu3SnS4)0.895(Ga2Te3)0.105,627,102.02,104440,2.275,0.3
Ba0.99K0.01Zn2As2,723,210.49,19048,1.326,0.46
Ba8.03Cu5Ge40.97,809,-163,27310,1.488,0.399
LiGe3.5Sb2Te7,373,201.8,28890,0.933,0.47
PbTe,724,-297.55,12039,1.194,0.646
Zn0.875Cd0.125Sc0.02O1.03,673,-110,32860,3.83,0.07
Ge0.6Sb0.2Te0.8(AgSnSe2)0.2,423,159,54194,0.837,0.693
Cu2Se0.92I0.08,375,175,10900,0.385,0.325
Co0.97Ni0.03GeTe,478,-109.15,76064,4.947,0.088
Mg3.07Sb1.5Bi0.48Se0.02,300,-275.82,11040,0.797,0.316
LiCo0.98Ni0.02O2,523,995.86,0.1,2.409,0
Cu2Se0.88S0.12,303,106.58,69583,0.608,0.394
Cu7PS6,673,281.55,501,0.207,0.129
Mg3.07Sb1.5Bi0.45Se0.05,600,-304.57,10704,0.703,0.848
(Cu0.003Pb0.997Te)(MnTe)0.03,823,-201.4,45379,1.275,1.188
Sr0.17Co4Sb12.88,850,-195,75500,2,0.7
Ge0.55Pb0.45Te0.4Se0.6,668,291.25,7971,0.685,0.768
Mg2Zn0.96Sb2,673,182.78,14934,0.846,0.397
(SnTe)0.96(CuSbTe2)0.04,620,88.19,177828,3.453,0.248
La0.1Co4Sb12,573,100,27600,3.657,0.043
Zn0.9Cd0.1Sc0.04O1.06,673,-119,34167,4.38,0.074
(SnTe)0.98(CuSbTe2)0.02,625,79.95,198708,4.025,0.197
Cu5SnSbSe6.3,473,51.95,148276,2.379,0.08
Ag0.97Cr0.99Bi0.01Se2,703,156.41,9792,0.388,0.434
CuAgTe0.7Se0.3,422,249.18,6602,0.295,0.587
Cr1.99Fe0.01Ge2Te6,320,500,109.38,0.834,0.01
Mg2.975Na0.025Sb2,473,109,41000,1.556,0.148
Mg3.5Ho0.03Sb2,600,-283.33,10251,0.81,0.609
Gd2Se2.94,850,-172.83,15250,1.162,0.333
Mg2.16(Si0.4Sn0.6)0.985Bi0.015,600,-198,104100,2.19,1.12
Cu2.8Sn0.2Sb0.8Se3.8,622,72.57,219725,3.743,0.192
In0.225Co4Sb11.925,700,-241,68000,1.6,1.1
Cu2.88Ag0.12SbSe4,548,379,7286,0.94,0.62
Cu2S0.5Se0.5,475,214.14,1634,0.548,0.065
Ge0.55Pb0.45Te0.8Se0.2,569,149.07,19544,1.124,0.24
Sm0.15Co4Sb12,800,-204,111000,1.1,1.3
ZrNiSn,673,-160.4,69790,3.491,0.346
Cu0.99Pd0.01FeS2,10,-61,20,20.9,0
Ag(Bi0.85Nb0.15)0.7Sb0.3Se2,378,-163,8913,0.691,0.13
AgCuSe,382,-26.75,55856,1.946,0.008
Cu10.5NiZn0.5Sb4S13,715,214.7,18500,0.549,1.025
"(Ag0.05Sb0.05Sn0.9)(S0.05Se0.05Te0.9
)",755,140,101800,2.15,0.701
(SnTe)0.98(CuSbTe2)0.02,818,158.52,98369,2.609,0.775
Cu2SnSe3,323,89.29,13265,2.826,0.012
Mo3Sb7I0.75,323,17.4,624500,5,0.012
Yb14MgSb11,600,131.7,20500,0.81,0.263
Ge9Sb2Te12,525,97.5,136364,2.758,0.247
(SnTe)0.98(CuSbTe2)0.02,722,120.33,135007,3.093,0.456
Cu7P(S0.5Se0.5)6,422,260,1250,0.26,0.137
Ca5Ga1.7Zn0.3Sb6,624,91.33,50000,1.436,0.185
Al0.02Ge0.98Te,773,137.14,203571,3.232,0.875
Cr1.99Mn0.01Ge2Te6,812,268.04,5437.5,0.633,0.501
BaGd2NiO5,1272,527.94,37.86,1.384,0.01
Ca3.2Yb1.65Pr0.15Al2Sb6,823,59.45,3688,1.502,0.008
Ag0.97Cr0.95Sb0.05Se2,503,119.07,9792,0.507,0.138
Ag0.97Cr0.97Sb0.03Se2,603,128.81,17153,0.421,0.407
Ag8Sn0.5Ga0.5Se6,702,-160.51,16667,0.286,1.136
CuGa0.99Mn0.01Te2,768,236,26000,1.85,0.605
Ag0.01Sn0.99Se,813,301.28,2877,0.232,0.917
Cu3SbS4,323,497,1650,4.206,0.031
Yb14MgBi11,326,24.32,74112,1.539,0.009
In4Pb0.01Sn0.03Se2.9Cl0.02,373,-224,8330,0.846,0.186
La0.1Ca0.9TiO3,740,-163,14520,3.028,0.094
Ce0.75Fe3CoSb12,333,65.05,154146,7.961,0.027
(Zn0.95In0.05)4Sb3,348,153.8,25400,0.85,0.246
Ge1.04Te,623,176,144750,2.38,1.174
(PbTe)0.05(Ag2Te)0.95,600,-175.2,20700,0.441,0.867
Bi0.94Pb0.06CuSeO,100,46.91,136151,2.172,0.014
Yb13.43Ce0.44Mn1.07Sb11.07,473,98.7,33440,0.72,0.214
Ag2Se1.06,362,-137.8,129800,1.064,0.839
Ag2Mo6Te8,600,17.65,195675,4,0.009
Sr0.11Ba0.18Co4Sb12.09,550,-137,271364,4,0.7
Mg1.98Li0.02Zn0.98Sb2,773,157.67,38300,1.007,0.731
(PbTe)0.05(Ag2Te)0.95,650,-198,13584,0.415,0.834
BiSb(Se0.96Br0.04)3,300,-100,21000,0.65,0.12
In3.99Pb0.01Se3,480,-242,12247,0.91,0.378
(SnTe)0.92(CuSbTe2)0.08,323,36,347600,3.925,0.037
Cu5.133Sn1.866S7,667,59.09,219417,3.35,0.153
Mg2Sn0.995Sb0.005,544,-187.93,102632,4.113,0.479
AgSb0.95Mn0.05Te2,394,92.17,72400,1.071,0.226
(CaZn0.4Ag0.2Sb)0.83(LiZnSb)0.17,873,174.8,25048,0.575,1.162
Ba7.97Ga15.95Sn30.07,580,334.5,11183,1.234,0.588
Cu11.9Gd0.1Sb4S13,327,78.34,108427,1.483,0.147
Li1.01Co0.85Ni0.15O2,1023,255,371.94,0.862,0.029
CrSe3,725,159.15,21464,1.898,0.208
Bi0.9Ag0.1CuSeO,373,178.5,2351,0.555,0.05
Mg3.5Gd0.04Sb1.97Te0.03,600,-238.57,18575,0.708,0.896
Mg2.16(Si0.4Sn0.6)0.99Bi0.01,600,-220.5,77300,1.993,1.131
In0.005Pb0.995Te0.999I0.001,428,-260.7,18890,1.6,0.343
Mg2Sn0.99Sb0.01,544,-153.02,216814,4.648,0.594
VFeSb,600,-203.8,67200,4.867,0.334
EuZn2Sb2,450,151.5,85000,1.8,0.488
Ge0.99Te,623,120,289206,3.26,0.796
Ge12Sb2Te15,373,175.7,35960,1.49,0.278
Tl0.1Co4Sb12,150,-98.3,124691,4,0.045
Cu1.6S,500,28.35,360577,4.414,0.033
As2Te2.9Se0.1,323,160.89,690.69,0.68,0.02
Rb2Bi8Se12.961,625,-242.8,6439,0.521,0.456
(CuI)0.003Bi2Te3,519,-162.26,81218,1.575,0.705
Ag3.8Mo9Se11,350,92.4,35800,0.853,0.125
Ca1.18Yb3.82Al1.84In0.16Sb6,423,29.01,32909,2.933,0.004
AgBiSe2.0,757,-233,6846,0.489,0.575
TiNiSn,398,-174.92,48344,4.691,0.125
Li0.02Cu1.85Se,301,34.7,179808,2.746,0.024
AgSbTe2,303,82.09,38533,0.976,0.081
LiCo0.92Ni0.08O2,623,804.11,0.66,1.477,0
(SnTe)40Sb2Te3,423,47.07,312102,5.089,0.057
Mg1.98Ag0.02Zn0.98Sb2,373,113.7,50794,1,0.245
Cu26Ti2Sb4Ge2S32,400,136.6,53271,1.119,0.355
Cu10.5Ni1.3Zn0.2Sb4S13,617,186.1,24450,0.7,0.746
Bi0.92Pb0.08CuSeO,150,57.22,142771,2.051,0.034
Ge9Sb2Te12,423,77.28,173636,2.859,0.153
(SnTe)0.84(CuSbTe2)0.16,325,35.99,347593,3.938,0.037
CaTiO3,432,-259,3600,4.03,0.026
Ca5Ga1.95Zn0.05Sb6,425,138.3,17900,1.186,0.121
Nb0.8Ti0.2FeSb,300,71.6,483350,4.54,0.09
Li1.04Co0.85Ni0.15O2,323,218,0.09,1.915,0
CuAgTe0.5Se0.5,363,137.5,9413,0.445,0.145
BiCuSeO,373,463.6,497,0.722,0.055
CuGa0.98Mn0.02Te2,625,272.3,15350,3.844,0.185
Cu26Ti2Sb4Ge2S32,308,115.98,59375,1.299,0.189
Nb0.85Ta0.15CoSn0.9Sb0.1,430,-114.42,121135,4.804,0.142
Cu3ErTe3,600,61.4,184000,1.74,0.239
Cu7P(S0.6Se0.4)6,623,286.4,2255,0.22,0.524
Mg0.97Li0.03Ge0.8Si0.2,600,319.46,12077,2.462,0.3
Ag0.01Sn0.99Se0.9S0.1,813,310.68,2689,0.181,1.167
(CaZn0.4Ag0.2Sb)0.95(LiZnSb)0.05,873,164.55,29279,0.794,0.872
Co0.95Ni0.05GeTe,551,-75.74,133862,4.969,0.085
Se0.05Co4Sb11.9Se0.1,300,-354,8200,4.1,0.1
Ag3RbMo9Se11,618,142.7,10667,0.839,0.16
TlCr5Se8,823,295,5000,0.705,0.508
Ca0.1BaGd1.9NiO5,532,204.41,65.12,2.2,0.001
Cu2Sn0.95Fe0.05Se3,623,103.62,75676,2.021,0.251
Ti0.98Mn0.02NiSn0.98Sb0.02,498,-143.3,158900,5.604,0.29
Ag3RbMo9Se11,520,128.54,8050,0.767,0.09
CuGa0.97Mn0.03Te2,325,172,25200,6.142,0.039
Cu1.975S0.5Se0.5,578,133.33,39208,0.898,0.449
"(Ag0.15Sb0.15Sn0.7)(S0.15Se0.15Te0.7
)",303,77.03,81308,1.27,0.115
Ta0.92Ti0.08FeSb,304,135,277000,6.62,0.232
CsSm2Ag3Te5,298,-90.28,83.82,0.663,0
Se0.03Co4Sb11.94Se0.06,800,-152,21500,3.7,0.1
Cu3Sb0.998In0.002Se4,423,303,4810,1.65,0.113
Bi0.95Ba0.05CuSeO,319,232.1,6796,0.93,0.126
Eu(Zn0.9Cd0.1)2Sb2,500,172.5,74560,1.615,0.687
Rb2Bi8Se12.9805,823,-214.2,7045,0.569,0.468
Ge0.99Te,423,58,512635,4.72,0.155
Ca1.14Yb3.86Al1.68In0.32Sb6,428,174.59,7006,0.942,0.096
Ag0.97Cr0.95Bi0.05Se2,403,97.03,14780,0.472,0.119
Ag2Se1.01,334,-138.72,125902,1.066,0.759
Mg2Zn1.02Sb2,773,109.93,11118,1.161,0.089
Cu3SbS4,473,603.3,316.2,1.024,0.053
BaBiTe2.9Se0.1,597,-204,3840,0.397,0.24
FeNb0.88Hf0.12Sb,900,210.44,127900,4.576,1.128
LiCo0.98Ni0.02O2,723,800,6.72,2.068,0.002
Cu2.88Ag0.12SbSe4,448,410,6667,1.19,0.422
Hf0.5Ti0.5CoSb0.8Sn0.2,377,194.4,42150,2.512,0.239
Ba8Cu5Si25Ge16,564,-91,88700,1.895,0.219
Sn0.96Pb0.03Zn0.01Se,673,520.21,872,0.471,0.337
In3.96Pb0.04Se3,518,-272,9500,0.86,0.423
Li2Ge11Sb2Te15,723,198,86517,1.696,1.446
Al0.0075Sb0.1Ge0.8925Te,673,244.35,54699,1.46,1.573
Cu2.025Cd0.975SnSe4,400,179.3,6175,1.875,0.042
Ca5Al1.9Zn0.1Sb6,724,162.73,17153,1.019,0.323
Sr0.21Yb0.03Co4Sb12.12,350,-119,315000,4.08,0.383
Cu7P(S0.55Se0.45)6,422,282,875,0.227,0.13
Ge0.55Pb0.45Te0.2Se0.8,370,391.25,2821,0.742,0.039
La0.25Ca0.75TiO3,740,-126.6,47311,2.965,0.189
Yb10LaCdSb9,673,52.14,29695,0.882,0.062
Cu2Se0.94S0.06,303,92,117606,0.788,0.37
Pb0.97Tl0.015Na0.015Te,497,192.86,54450,1.411,0.713
Ba8.07Cu4.89Si41.03,713,-87,110000,2.8,0.21
Ag2.0Se0.8Te0.2,390,-128,102110,0.857,0.761
K8Al8Ge38,200,-19.8,43650,1.035,0.003
Ge0.87In0.05Pb0.08Te,325,162.02,52752,1.16,0.388
SnTe0.25AgSbSe2,500,109.2,94295,1.71,0.329
(CuI)0.003Bi2Te3,325,-156.98,132444,1.407,0.754
Mg2.994Na0.006Sb2,323,123.48,13097,1.514,0.043
Cu1.925Ag0.075SnSe3,800,209.09,8788,0.549,0.56
VFeSb,800,-146.4,51807,4.048,0.203
Ge0.55Pb0.45Te,571,101.24,38462,2.25,0.1
In4Se2.32Cl0.03,673,-306.1,11180,0.725,0.973
GeTe,525,67.33,310811,4.281,0.173
Yb0.20Co4Sb12,300,-139,149000,2.1,0.3
Bi1.2Sb0.8Se2.88Cl0.12,300,-97,29670,0.82,0.102
Ca0.2BaGd1.8NiO5,897,149.26,323.45,1.579,0.004
FeVSb,700,-238,44000,6.3,0.266
Sr0.28Co4Sb12.88,850,-176,111000,1.4,0.9
Cu2Zn0.4Fe0.6SnSe4,773,229.48,7136,0.713,0.408
Ta0.74V0.1Ti0.16FeSb,304,116,283220,2.33,0.29
Cu2Sn0.9Zn0.1S3,623,125,36100,1.16,0.303
Cu1.8Se,572,45.05,383784,4.584,0.097
Al0.01Ge0.99Te,823,156.43,171429,2.96,1.052
Bi0.9Pb0.1CuSeO,100,40.98,189824,2.166,0.015
Ba8.02Cu5.04Si6Ge34.93,716,-130.2,47500,1.33,0.434
Ag8Sn0.7Ga0.3Se6,694,-139.5,19210,0.385,0.675
Cu2ZnSn0.98Ag0.02Se4,373,78.41,38847,3.836,0.023
Nb0.75Ta0.25CoSn0.9Sb0.1,628,-149.23,96028,4.186,0.321
YbCd1.4Zn0.6Sb2,450,157.1,63012,1.46,0.498
Ca3Co4O9,300,122.3,6493,2.873,0.01
NbCo0.92Ni0.08Sn,382,-75,165476,9.452,0.038
Cu1.5S,400,15.57,552885,4.986,0.011
In0.30Co4Sb11.90,300,-162,137000,2,0.4
Bi1.94Nb0.06Te3,426,-107.14,72353,0.861,0.411
Se0.17Co4Sb11.31Te0.53,300,-142,106000,2.4,0.2
As2Te2.3Se0.7,423,338.8,257.5,0.465,0.028
Ca0.1BaGd1.9NiO5,1134,185.29,238.81,1.757,0.005
(SnTe)0.88(CuSbTe2)0.12,525,83.52,169964,2.77,0.225
Ba1.9Bi0.1CoRuO6,618,15,334375,1.31,0.035
AgCuTe,422,120,24175,0.6,0.245
Sr0.21Co4Sb12.25,750,-192,128182,3.65,0.971
Ag3.8Mo9Se11,447,118,30300,0.84,0.223
CoSb3.0,423,-200,2941,5.4,0.009
Ba0.11Yb0.03Co4Sb12,300,-114.8,178700,3.203,0.215
Ag3RbMo9Se11,421,96.04,5926,0.714,0.032
Ag3.4Mo9Se11,645,119.6,36750,1.155,0.287
Tl9.0Sb0.99Te6,325,122,44770,0.71,0.305
Tl4PbTe3,573,166,14500,0.545,0.426
Ag(Bi0.85Nb0.15)0.9Sb0.1Se2,576,-152,17433,0.528,0.44
Mg0.98Li0.02Ge0.8Si0.2,600,337.5,6300,2.399,0.179
Gd2.75Se4,450,-122.1,7610,0.838,0.061
NbCoSn,970,-230.9,32430,7.345,0.228
ZrNiPb0.98Bi0.02,303,-89.8,394700,10.836,0.089
AgMo6Te8,400,6.11,169860,3.944,0.001
Mg3Sb1.6Bi0.4,470,211,2500,0.66,0.079
Ge0.87Mn0.05Sb0.08Te,698,210,76289,1.489,1.577
(SnTe)10Sb2Te3,323,74.75,192500,2.37,0.147
Pb0.9825Tl0.0075Na0.01Te,597,229.74,45238,1.294,1.101
Mg2.16(Si0.4Sn0.6)0.985Bi0.015,700,-213.7,88200,2.19,1.287
Zn0.9Cd0.1Sc0.02O1.03,300,-70.6,59430,7.83,0.011
ZrNiSn,474,-132.87,47448,3.744,0.106
(Ag0.1Sb0.1Sn0.8)(S0.1Se0.1Te0.8),434,98.02,112150,1.703,0.275
Mg3.5Gd0.03Sb2,700,-291.9,11122,0.655,1.012
LaCo0.8(Ni0.5Fe0.5)0.2O3,300,234,1380,0.157,0.158
Cu2Se0.7S0.3,426,51,140857,1.389,0.112
Ag(Bi0.9Nb0.1)0.7Sb0.3Se2,326,-168,5623,0.552,0.094
Zn2Cu3In3Te8,330,132.4,20300,3.25,0.037
Mg0.99Li0.01Ge0.9Si0.1,400,292.28,10692,4.352,0.084
Ca3Co3.9Ti0.1O9,900,206,7059,2.12,0.127
Yb0.40Co4Sb12,823,-183,141000,1.4,1.1
GeSe0.5Te0.5,678,111,144776,2.612,0.463
In4Pb0.01Sn0.03Se2.9Cl0.02,723,-260.12,13830,0.562,1.204
Cu1.9Ag0.1SnSe3,800,287.88,3612,0.413,0.58
Ca3.2Yb1.65Pr0.15Al2Sb6,623,51.22,4000,1.456,0.004
Cu2.1Cd0.9SnSe4,350,132,21034,1.713,0.075
ZrNiPb0.995Bi0.005,771,-214,78390,6.281,0.441
Ca3Co3.7Ti0.3O9,1000,281,6050,1.79,0.28
FeNb0.92Hf0.08Sb,300,116.26,345736,9.458,0.148
Ce0.2Bi1.8Te3,398,-146.5,77900,0.514,1.293
Ge0.55Pb0.45Te0.2Se0.8,668,225,4622,0.848,0.135
Yb13.49Ce0.39Mn1.05Sb11.08,573,125.4,27151,0.758,0.323
Ge12Sb2Te15,623,238,51700,1.53,1.195
Co4Sb11.95Te0.05,600,-310,27700,3.7,0.4
FeNb0.9Zr0.1Sb,400,134.7,311628,10.847,0.209
(Cu3SnS4)0.85(Ga2Te3)0.15,527,123.23,41941,1.434,0.234
CaZn0.4Ag0.2Sb,773,139.7,37901,0.922,0.62
Ag0.04Cr1.96Se3,566,145,28286,1.492,0.226
Ag8GeTe6,509,366.4,776,0.283,0.189
SnTe0.25AgSbSe2,400,85.6,113800,1.832,0.19
Cu2.1Cd0.9SnSe4,550,143.8,24080,0.835,0.328
ZnSc0.02O1.03,973,-270.6,5857,8.083,0.052
Bi0.92Ag0.08CuSeO,373,194,2190,0.525,0.059
Sn1.03Se0.08Te0.92,723,129.7,89474,2.695,0.404
Ca1.11Yb3.89Al2Sb5.77Ge0.23,661,63.3,22600,1.835,0.033
Cu2Se0.94S0.06,550,165.46,39019,0.812,0.724
Zn0.95Cd0.05Sc0.02O1.03,1173,-160,10100,3.43,0.088
Mg0.98Li0.02Ge0.8Si0.2,500,360.4,3846,2.748,0.091
Ag0.5Sb1.1Pb19.6Te18.8,673,-133,42000,1.443,0.346
Ba0.07Co4Sb11.88,850,-192,56700,3.5,0.4
In4Se2.32Cl0.03,698,-311,10860,0.705,1.04
(Zn0.95In0.05)4Sb3,398,163.2,24034,0.83,0.307
Ga0.10Co4Sb11.95Ga0.05,300,-228.6,44400,3.2,0.2
Cu2Se,410,85,55023,0.859,0.19
Bi0.92Pb0.04Yb0.04CuSeO,645,207.89,8225,0.507,0.452
Hf0.8Ti0.2CoSb0.8Sn0.2,784,225.2,48511,2.676,0.721
Cu2Se0.96I0.04,359,115,40033,0.41,0.464
AgSb0.95Mn0.05Te2,444,108.42,66133,1.082,0.319
Li0.03Cu1.83Bi0.02Se,606,60.72,171264,2.089,0.183
BaZn2As2,423,230,5677,1.482,0.086
Ba0.11Yb0.08Co4Sb12,400,-127,177300,2.42,0.473
(SnTe)0.88(CuSbTe2)0.12,726,148.9,96764,2.05,0.76
Bi1.2Sb0.8Se2.82Cl0.18,600,-168,17680,0.66,0.454
Zn0.9Cd0.1Sc0.03O1.045,473,-92.7,48333,5.62,0.035
Cu7PS6,422,125,6.62,0.202,0
Ag0.98Nb0.02BiSe2.0,625,-225,6432,0.474,0.429
Ca9Yb2Sb10,701,15.1,50204,1.055,0.008
Cu7P(S0.5Se0.5)6,623,264.5,4604,0.289,0.694
(SnTe)0.86(CuSbTe2)0.14,818,148,91300,1.83,0.894
SnTe,421,20.7,553846,6.947,0.014
Ca2Yb9Sb9Ge,327,17.04,889.8,1.637,0
MgAgSb0.99In0.01,300,155.45,79820,1.146,0.505
Mg2Zn1.04Sb2,300,433.55,430,0.717,0.034
GeSe0.6Te0.4,320,51.13,203731,2.956,0.058
Mg3.5Gd0.01Sb2,400,-254.23,6918,1.011,0.177
Al0.02Ge0.98Te,573,93.75,287500,4.333,0.334
In0.005Pb0.995Te0.994I0.006,663,-162.2,43010,1.413,0.528
In0.01Pb0.99Te0.998I0.002,481,-253,20500,1.512,0.417
CuGa0.98Mn0.02Te2,525,300,9123,3.355,0.128
Nd2.84Te4,973,-135,47400,1.49,0.564
Cu10.5Ni1.5Sb4S13,517,172.6,23550,0.716,0.507
Ba0.11Yb0.08Co4Sb12.08,800,-177,112000,0.5,1.2
CsSm2Ag3Te5,462,177.78,95.59,0.521,0.003
Pb0.975Zn0.04Te,423,-191.5,68450,1.94,0.547
Bi2.0S2.91Se0.09,323,-461,623,0.815,0.052
Mg3Sb1.8Bi0.2,565,386,865,0.74,0.098
Cu2Se0.7S0.3,613,101.98,69143,0.941,0.468
Li2Ge3Sb2Te7,623,248.6,26940,0.782,1.326
AgSb0.93Mn0.07Te2,302,58.43,121745,1.15,0.109
Ag0.97Cr0.95Sb0.05Se2,403,96.4,12240,0.52,0.088
Sn0.91Mn0.08Bi0.01Te,473,75.45,240000,3.968,0.163
Ag0.01Sn0.99Se0.85S0.15,616,430.34,488,0.13,0.428
Bi0.94Pb0.06CuSeO,150,71.6,100000,1.936,0.04
Cu11.9Gd0.1Sb4S13,625,115.8,85398,1.505,0.476
Nd2.78Te4,1173,-213.84,20823,0.883,1.265
(CaZn0.4Ag0.2Sb)0.91(LiZnSb)0.09,773,193.53,20379,0.67,0.881
BaGd2NiO5,1074,484.56,32.1,1.436,0.006
Sr14MgBi11,717,87.54,52518,1.336,0.216
EuZn2Sb2,400,140.4,92390,2,0.364
SnTe0.15AgSbSe2,800,146.1,76600,1.716,0.762
(Zn0.95In0.05)4Sb3,323,146.3,26580,0.862,0.213
GeSe0.7Te0.3,530,26.15,64179,1.485,0.016
Al0.03Ge0.97Te,573,88.39,287500,4.313,0.298
Cu1.02Fe0.98S2,70,-798.5,1.48,40.8,0
Cu1.5S,300,10.4,571905,4.37,0.004
(Cu0.004Pb0.996Te)(MnTe)0.03,423,-204.56,57655,1.56,0.654
Mg0.97Li0.03Ge0.9Si0.1,300,173.49,44769,4.918,0.082
Mg2Zn1.02Sb2,373,269.08,894,0.678,0.036
Li0.02Cu1.85Se,603,47.79,244231,3.216,0.105
Ga0.06Co4Sb11.97Ga0.03,300,-272.6,23700,3.3,0.2
Mg1.96Li0.04Zn0.98Sb2,473,76.72,103280,1.263,0.228
Ag1.3Sb0.9Pb15.7Te22.0,523,-171.2,913,1.01,0.014
Ag0.4Sb1.1Pb19.6Te18.8,473,-17.6,17208,1.456,0.002
(Cu3SnS4)0.875(Ga2Te3)0.125,674,146.46,48829,1.533,0.461
Ag2.0Se0.8Te0.2,315,-126.5,93850,0.765,0.618
In0.225Co4Sb11.925,300,-173,116000,2.3,0.4
Yb7Ca6BaMgSb11,900,196.9,11750,0.622,0.659
Mg3.5Ho0.03Sb1.97Te0.03,600,-245.77,18974,0.819,0.84
Gd0.04Co4Sb12,650,-265,44100,2.7,0.6
Sn0.97Mn0.03Te,625,92.97,202367,4.224,0.259
Cu1.925Ag0.075SnSe3,500,126.77,9152,0.825,0.089
Sn0.98Ce0.02Te,323,24.86,462025,5,0.018
(Nb0.6Ta0.4)0.8Ti0.2FeSb,1200,218.2,91010,1.43,1.6
Ag2Se1.03,332,-140.43,118530,1.066,0.728
(Sn0.8Ge0.2)0.88Mn0.12Te,573,95.4,150750,1.95,0.403
Sn0.99Mn0.01Te,768,112.7,159763,3.618,0.431
Sn0.87Mn0.1Bi0.03Te,323,60,265500,4.237,0.073
Ga0.15Co4Sb11.925Ga0.075,650,-285,24800,2.2,0.5
Cu0.98Pd0.02FeS2,30,-47.3,5829,22.5,0
Cr2Ge2Te6,515,455.67,609.38,0.752,0.087
Ag1.2Sb0.8Pb14.9Te22.7,373,404.8,2315,1.09,0.13
Mg2Zn0.96Sb2,300,288.82,3013,0.682,0.111
Gd2Se2.98,850,-205.8,16918,1.117,0.545
Cu2Se,385,127.4,52850,0.384,0.861
Ag3.4Mo9Se11,743,132.9,33250,1.124,0.379
Ba8.01Ga15.89Zn0.006Sn30.1,300,335.6,14596,0.99,0.498
Mg3.07Sb1.5Bi0.46Se0.04,600,-303.87,10749,0.657,0.906
Ba0.95K0.05Zn2As2,623,70,90141,2.66,0.103
Sn0.99Mn0.01Te,621,69.14,279290,5.184,0.16
Ti0.995Al0.005O2,296,-439.53,1172,7,0.01
Ca3.2Yb1.65Pr0.15Al2Sb6,423,48.3,3000,1.46,0.002
Cu26V2Ge6S32,594,65.7,232000,3.337,0.178
In4Se2.67Cl0.03,323,-103.3,105263,0.88,0.412
Br0.16Co4Sb11.34Te0.52,300,-136,135000,3.4,0.2
Mn2Cu3In3Te8,720,370,1000,0.74,0.139
Cu2ZnSn0.925Ag0.075Se4,473,67.89,67686,2.895,0.051
PbTe,323,-230.71,22500,2.165,0.183
(SnTe)0.88(CuSbTe2)0.12,427,58.24,226651,3.205,0.102
Cu2.88Ag0.12SbSe4,398,378,9159,1.39,0.375
Cr2Ge2Te6,614,401.55,1148.44,0.681,0.167
Mg2.16(Si0.4Sn0.6)0.985Bi0.015,500,-179.4,123333,2.271,0.877
Sm0.2Bi1.8Te3,498,-155.8,52300,0.81,0.781
Cu7P(S0.25Se0.75)6,422,232.54,2452,0.286,0.195
